label,start_frame,end_frame,duration_frames,duration_sec,Attempt Number,Outcome,Anchor Number,video,Type,Severity
Diagnositc Arthroscopy,0,337,337,11.233333333333333,,,,annotations,,
Suture Attempt,12471,12472,1,0.03333333333333333,1,Success,1,annotations,,
Suture Attempt,18379,18380,1,0.03333333333333333,1,Fail,2,annotations,,
Suture Attempt,18931,18932,1,0.03333333333333333,2,Fail,2,annotations,,
Suture Attempt,20376,20377,1,0.03333333333333333,3,Success,2,annotations,,
Suture Attempt,20634,20635,1,0.03333333333333333,3,Success,2,annotations,,
Suture Attempt,27611,27612,1,0.03333333333333333,1,Success,3,annotations,,
Instruments,6163,7308,1145,38.166666666666664,,,,annotations,Elevator,
Instruments,7735,9818,2083,69.43333333333334,,,,annotations,Drill Guide,
Instruments,11008,11657,649,21.633333333333333,,,,annotations,Suture Passer,
Instruments,25041,27005,1964,65.46666666666667,,,,annotations,Suture Passer,
Diagnositc Arthroscopy,0,438,438,14.6,,,,annotations,,
Bleeding,5149,5150,1,0.03333333333333333,,,,annotations,,Moderate
Suture Attempt,11007,11008,1,0.03333333333333333,1,Success,1,annotations,,
Suture Attempt,18200,18201,1,0.03333333333333333,1,Success,2,annotations,,
Suture Attempt,25041,25042,1,0.03333333333333333,1,Success,3,annotations,,
Suture Attempt,37478,37479,1,0.03333333333333333,1,Success,4,annotations,,
Bleeding,5647,5648,1,0.03333333333333333,,,,annotations,,Severe
Suture Attempt,10392,10393,1,0.03333333333333333,1,Success,1,annotations,,
Suture Attempt,16586,16587,1,0.03333333333333333,1,Success,2,annotations,,
Suture Attempt,21797,21798,1,0.03333333333333333,1,Success,2,annotations,,
Suture Attempt,31991,31992,1,0.03333333333333333,1,Success,4,annotations,,
Suture Attempt,36498,36499,1,0.03333333333333333,1,Success,5,annotations,,
Bleeding,7546,7547,1,0.03333333333333333,,,,annotations,,Severe
Bleeding,8181,8182,1,0.03333333333333333,,,,annotations,,Severe
Suture Attempt,20682,20683,1,0.03333333333333333,1,Fail,1,annotations,,
Suture Attempt,22355,22356,1,0.03333333333333333,2,Success,1,annotations,,
Suture Attempt,28288,28289,1,0.03333333333333333,1,Success,2,annotations,,
Suture Attempt,36699,36700,1,0.03333333333333333,1,Success,3,annotations,,
Suture Attempt,43382,43383,1,0.03333333333333333,1,Success,4,annotations,,
Suture Attempt,49494,49495,1,0.03333333333333333,1,Success,5,annotations,,
Suture Attempt,55610,55611,1,0.03333333333333333,1,Success,6,annotations,,
Suture Attempt,62590,62591,1,0.03333333333333333,1,Success,7,annotations,,
Suture Attempt,68255,68256,1,0.03333333333333333,1,Success,8,annotations,,
Diagnositc Arthroscopy,2859,3813,954,31.8,,,,annotations,,
Suture Attempt,12963,12964,1,0.03333333333333333,1,Success,1,annotations,,
Suture Attempt,18593,18594,1,0.03333333333333333,1,Success,2,annotations,,
Suture Attempt,25566,25567,1,0.03333333333333333,1,Success,3,annotations,,
Instruments,7735,9818,2083,69.43333333333334,,,,annotations,Drill Guide,
Instruments,11008,11657,649,21.633333333333333,,,,annotations,Suture Passer,
Instruments,25041,27005,1964,65.46666666666667,,,,annotations,Suture Passer,
Bleeding,5149,5150,1,0.03333333333333333,,,,annotations,,Moderate
Suture Attempt,11007,11008,1,0.03333333333333333,1,Success,1,annotations,,
Suture Attempt,18200,18201,1,0.03333333333333333,1,Success,2,annotations,,
Suture Attempt,25041,25042,1,0.03333333333333333,1,Success,3,annotations,,
Suture Attempt,37478,37479,1,0.03333333333333333,1,Success,4,annotations,,
Suture Attempt,14476,14477,1,0.03333333333333333,1,Success,1,annotations,,
Suture Attempt,22320,22321,1,0.03333333333333333,1,Success,2,annotations,,
Suture Attempt,29121,29122,1,0.03333333333333333,1,Success,3,annotations,,
Diagnositc Arthroscopy,2669,4219,1550,51.666666666666664,,,,annotations,,
Suture Attempt,15297,15298,1,0.03333333333333333,1,Success,1,annotations,,
Suture Attempt,22032,22033,1,0.03333333333333333,1,Success,2,annotations,,
Suture Attempt,27399,27400,1,0.03333333333333333,1,Success,2,annotations,,
Suture Attempt,34521,34522,1,0.03333333333333333,1,Success,4,annotations,,
Diagnositc Arthroscopy,1454,2841,1387,46.233333333333334,,,,annotations,,
Suture Attempt,14376,14377,1,0.03333333333333333,1,Fail,1,annotations,,
Suture Attempt,15161,15162,1,0.03333333333333333,2,Success,1,annotations,,
Suture Attempt,21672,21673,1,0.03333333333333333,1,Success,2,annotations,,
Suture Attempt,26330,26331,1,0.03333333333333333,1,Fail,3,annotations,,
Suture Attempt,26866,26867,1,0.03333333333333333,2,Fail,3,annotations,,
Suture Attempt,32574,32575,1,0.03333333333333333,1,Success,4,annotations,,
