label,start_frame,end_frame,duration_frames,duration_sec,Anchor Number,video
Labral Mobilization,5625,7704,2079,69.3,,annotations
Glenoid Preparation,8288,8920,632,21.066666666666666,,annotations
Anchor Placement,9742,11365,1623,54.1,1,annotations
Suture Passage,12204,13818,1614,53.8,1,annotations
Suture Tensioning,13819,14700,881,29.366666666666667,,annotations
Anchor Placement,16037,17731,1694,56.46666666666667,1,annotations
Suture Passage,18246,21758,3512,117.06666666666666,2,annotations
Suture Tensioning,21759,23439,1680,56.0,,annotations
Anchor Placement,24250,25885,1635,54.5,3,annotations
Suture Passage,27479,29232,1753,58.43333333333333,3,annotations
Suture Tensioning,29233,30237,1004,33.46666666666667,,annotations
Final Inspection,31153,32199,1046,34.86666666666667,,annotations
Portal Placement,4849,4850,1,0.03333333333333333,,annotations
Labral Mobilization,6162,7308,1146,38.2,,annotations
Anchor Placement,7734,9818,2084,69.46666666666667,1,annotations
Suture Passage,11007,12434,1427,47.56666666666667,1,annotations
Anchor Placement,15686,17436,1750,58.333333333333336,2,annotations
Suture Passage,18200,19912,1712,57.06666666666667,2,annotations
Suture Tensioning,19913,21726,1813,60.43333333333333,,annotations
Anchor Placement,22476,24132,1656,55.2,3,annotations
Suture Passage,25041,27231,2190,73.0,3,annotations
Suture Tensioning,27232,29089,1857,61.9,,annotations
Suture Passage,32045,34363,2318,77.26666666666667,4,annotations
Anchor Placement,34963,36938,1975,65.83333333333333,4,annotations
Suture Passage,37478,38294,816,27.2,4,annotations
Suture Tensioning,39337,40866,1529,50.96666666666667,,annotations
Final Inspection,41385,41648,263,8.766666666666667,,annotations
Suture Tensioning,13313,14676,1363,45.43333333333333,,annotations
Portal Placement,577,578,1,0.03333333333333333,,annotations
Portal Placement,5778,5779,1,0.03333333333333333,,annotations
Diagnostic Arthroscopy,3023,3473,450,15.0,,annotations
Labral Mobilization,5249,5949,700,23.333333333333332,,annotations
Glenoid Preparation,6535,7520,985,32.833333333333336,,annotations
Labral Mobilization,7860,8026,166,5.533333333333333,,annotations
Glenoid Preparation,8190,9335,1145,38.166666666666664,,annotations
Suture Passage,9980,12296,2316,77.2,1,annotations
Anchor Placement,13748,15264,1516,50.53333333333333,1,annotations
Suture Tensioning,14357,15264,907,30.233333333333334,,annotations
Suture Passage,16257,18152,1895,63.166666666666664,2,annotations
Anchor Placement,19459,20954,1495,49.833333333333336,2,annotations
Suture Tensioning,19936,20954,1018,33.93333333333333,,annotations
Suture Passage,21623,23207,1584,52.8,3,annotations
Anchor Placement,24419,26064,1645,54.833333333333336,3,annotations
Suture Tensioning,24857,26064,1207,40.233333333333334,,annotations
Labral Mobilization,29436,29745,309,10.3,,annotations
Glenoid Preparation,30111,30703,592,19.733333333333334,,annotations
Suture Passage,31770,32924,1154,38.46666666666667,4,annotations
Anchor Placement,34142,35764,1622,54.06666666666667,4,annotations
Suture Tensioning,34853,35764,911,30.366666666666667,,annotations
Suture Passage,36428,37239,811,27.033333333333335,5,annotations
Anchor Placement,38293,40441,2148,71.6,5,annotations
Suture Tensioning,39283,40441,1158,38.6,,annotations
Final Inspection,40929,41562,633,21.1,,annotations
Portal Placement,660,661,1,0.03333333333333333,,annotations
Portal Placement,4782,4783,1,0.03333333333333333,,annotations
Portal Placement,29124,29125,1,0.03333333333333333,,annotations
Labral Mobilization,6435,8155,1720,57.333333333333336,,annotations
Glenoid Preparation,9093,10927,1834,61.13333333333333,,annotations
Anchor Placement,17368,19046,1678,55.93333333333333,1,annotations
Suture Passage,20542,24985,4443,148.1,1,annotations
Anchor Placement,25780,27236,1456,48.53333333333333,2,annotations
Suture Passage,28057,29732,1675,55.833333333333336,2,annotations
Suture Tensioning,29732,32786,3054,101.8,,annotations
Anchor Placement,33514,35319,1805,60.166666666666664,3,annotations
Suture Passage,36534,38745,2211,73.7,3,annotations
Suture Tensioning,38746,39886,1140,38.0,,annotations
Anchor Placement,40526,41727,1201,40.03333333333333,4,annotations
Suture Passage,43223,44671,1448,48.266666666666666,4,annotations
Suture Tensioning,44672,45917,1245,41.5,,annotations
Anchor Placement,46632,48461,1829,60.96666666666667,5,annotations
Suture Passage,49376,50564,1188,39.6,5,annotations
Suture Tensioning,50565,52655,2090,69.66666666666667,,annotations
Anchor Placement,53355,54752,1397,46.56666666666667,6,annotations
Suture Passage,55482,56485,1003,33.43333333333333,6,annotations
Suture Tensioning,56486,57664,1178,39.266666666666666,,annotations
Anchor Placement,58331,59821,1490,49.666666666666664,7,annotations
Suture Passage,62489,64159,1670,55.666666666666664,7,annotations
Suture Tensioning,64160,65130,970,32.333333333333336,,annotations
Anchor Placement,65680,67068,1388,46.266666666666666,8,annotations
Suture Passage,68019,69332,1313,43.766666666666666,8,annotations
Suture Tensioning,69333,70279,946,31.533333333333335,,annotations
Final Inspection,70550,71521,971,32.36666666666667,,annotations
Labral Mobilization,12559,12880,321,10.7,,annotations
Portal Placement,1493,1494,1,0.03333333333333333,,annotations
Labral Mobilization,6583,8008,1425,47.5,,annotations
Glenoid Preparation,8236,9123,887,29.566666666666666,,annotations
Anchor Placement,9657,11151,1494,49.8,1,annotations
Suture Passage,12678,14449,1771,59.03333333333333,1,annotations
Suture Tensioning,14449,15809,1360,45.333333333333336,,annotations
Anchor Placement,16322,17669,1347,44.9,2,annotations
Suture Passage,18431,19660,1229,40.96666666666667,1,annotations
Suture Tensioning,19661,21917,2256,75.2,,annotations
Anchor Placement,23140,24500,1360,45.333333333333336,3,annotations
Suture Passage,25469,26654,1185,39.5,3,annotations
Suture Tensioning,26655,27702,1047,34.9,,annotations
Final Inspection,28552,33004,4452,148.4,,annotations
Portal Placement,2312,2313,1,0.03333333333333333,,annotations
Portal Placement,6033,6034,1,0.03333333333333333,,annotations
Labral Mobilization,6162,7308,1146,38.2,,annotations
Anchor Placement,7734,9818,2084,69.46666666666667,1,annotations
Suture Passage,11007,12434,1427,47.56666666666667,1,annotations
Anchor Placement,15686,17436,1750,58.333333333333336,2,annotations
Suture Passage,18200,19912,1712,57.06666666666667,2,annotations
Suture Tensioning,19913,21726,1813,60.43333333333333,,annotations
Anchor Placement,22476,24132,1656,55.2,3,annotations
Suture Passage,25041,27231,2190,73.0,3,annotations
Suture Tensioning,27232,29089,1857,61.9,,annotations
Suture Passage,32045,34363,2318,77.26666666666667,4,annotations
Anchor Placement,34963,36938,1975,65.83333333333333,4,annotations
Suture Passage,37478,38294,816,27.2,4,annotations
Suture Tensioning,39337,40866,1529,50.96666666666667,,annotations
Final Inspection,41385,41648,263,8.766666666666667,,annotations
Diagnostic Arthroscopy,0,438,438,14.6,,annotations
Suture Tensioning,13313,14676,1363,45.43333333333333,,annotations
Portal Placement,577,578,1,0.03333333333333333,,annotations
Portal Placement,5778,5779,1,0.03333333333333333,,annotations
Diagnostic Arthroscopy,553,1326,773,25.766666666666666,,annotations
Suture Passage,14141,16601,2460,82.0,1,annotations
Anchor Placement,18892,21059,2167,72.23333333333333,1,annotations
Suture Passage,22228,23372,1144,38.13333333333333,1,annotations
Anchor Placement,25252,27492,2240,74.66666666666667,2,annotations
Suture Tensioning,26439,27492,1053,35.1,,annotations
Suture Passage,28998,30202,1204,40.13333333333333,3,annotations
Anchor Placement,31894,34558,2664,88.8,3,annotations
Suture Tensioning,33004,34558,1554,51.8,,annotations
Labral Mobilization,7499,8225,726,24.2,,annotations
Portal Placement,4599,4600,1,0.03333333333333333,,annotations
Portal Placement,7203,7204,1,0.03333333333333333,,annotations
Labral Mobilization,4248,6482,2234,74.46666666666667,,annotations
Glenoid Preparation,6750,8636,1886,62.86666666666667,,annotations
Anchor Placement,11137,13824,2687,89.56666666666666,1,annotations
Suture Passage,15032,16599,1567,52.233333333333334,1,annotations
Suture Tensioning,16600,17937,1337,44.56666666666667,,annotations
Anchor Placement,19647,21007,1360,45.333333333333336,2,annotations
Suture Passage,21887,23280,1393,46.43333333333333,2,annotations
Suture Tensioning,23281,24522,1241,41.36666666666667,,annotations
Anchor Placement,25054,26386,1332,44.4,3,annotations
Suture Passage,27257,28492,1235,41.166666666666664,3,annotations
Suture Tensioning,28493,31039,2546,84.86666666666666,,annotations
Anchor Placement,31718,33270,1552,51.733333333333334,4,annotations
Suture Passage,34408,35839,1431,47.7,4,annotations
Suture Tensioning,35840,36897,1057,35.233333333333334,,annotations
Final Inspection,37243,37831,588,19.6,,annotations
Portal Placement,1745,1746,1,0.03333333333333333,,annotations
Portal Placement,10312,10313,1,0.03333333333333333,,annotations
Labral Mobilization,7321,12782,5461,182.03333333333333,,annotations
Suture Passage,14101,17316,3215,107.16666666666667,1,annotations
Anchor Placement,18720,20745,2025,67.5,1,annotations
Suture Tensioning,19768,20745,977,32.56666666666667,,annotations
Suture Passage,21553,22665,1112,37.06666666666667,2,annotations
Anchor Placement,23684,25255,1571,52.36666666666667,2,annotations
Suture Tensioning,24449,25255,806,26.866666666666667,,annotations
Suture Passage,26142,27765,1623,54.1,3,annotations
Anchor Placement,28781,31146,2365,78.83333333333333,3,annotations
Suture Tensioning,29834,31146,1312,43.733333333333334,,annotations
Suture Passage,32401,33631,1230,41.0,4,annotations
Anchor Placement,34804,37651,2847,94.9,4,annotations
Suture Tensioning,35606,37651,2045,68.16666666666667,,annotations
Final Inspection,37996,38459,463,15.433333333333334,,annotations
Portal Placement,1120,1121,1,0.03333333333333333,,annotations
Portal Placement,4581,4582,1,0.03333333333333333,,annotations
Portal Placement,6975,6976,1,0.03333333333333333,,annotations
