label,start_frame,end_frame,duration_frames,duration_sec,Anchor Number
Labral Mobilization,7321,12782,5461,182.03333333333333,
Suture Passage,14101,17316,3215,107.16666666666667,1
Anchor Placement,18720,20745,2025,67.5,1
Suture Tensioning,19768,20745,977,32.56666666666667,
Suture Passage,21553,22665,1112,37.06666666666667,2
Anchor Placement,23684,25255,1571,52.36666666666667,2
Suture Tensioning,24449,25255,806,26.866666666666667,
Suture Passage,26142,27765,1623,54.1,3
Anchor Placement,28781,31146,2365,78.83333333333333,3
Suture Tensioning,29834,31146,1312,43.733333333333334,
Suture Passage,32401,33631,1230,41.0,4
Anchor Placement,34804,37651,2847,94.9,4
Suture Tensioning,35606,37651,2045,68.16666666666667,
Final Inspection,37996,38459,463,15.433333333333334,
Portal Placement,1120,1121,1,0.03333333333333333,
Portal Placement,4581,4582,1,0.03333333333333333,
Portal Placement,6975,6976,1,0.03333333333333333,
