,precision,recall,f1-score,support
Anchor Placement,0.8955399061032864,0.8539451594851707,0.8742480664566027,1787.0
Diagnostic Arthroscopy,0.4608501118568233,0.9363636363636364,0.6176911544227887,220.0
Final Inspection,0.9191176470588235,0.27472527472527475,0.4230118443316413,455.0
Glenoid Preparation,0.07103825136612021,0.03651685393258427,0.04823747680890538,356.0
Labral Mobilization,0.34801762114537443,0.6929824561403509,0.4633431085043988,228.0
Portal Placement,0.8686868686868687,0.8686868686868687,0.8686868686868687,99.0
Suture Passage,0.8467788740568776,0.8995067817509248,0.8723467862481316,1622.0
Suture Tensioning,0.9260143198090692,0.9498164014687882,0.9377643504531722,817.0
accuracy,0.7788323782234957,0.7788323782234957,0.7788323782234957,0.7788323782234957
macro avg,0.6670054500104055,0.6890679290691999,0.6381662069890637,5584.0
weighted avg,0.7952331723385723,0.7788323782234957,0.7665756572348752,5584.0
