phase,start_time_s,end_time_s,duration_s
Diagnostic Arthroscopy,0.26666666666666666,108.53333333333333,108.26666666666667
Labral Mobilization,109.06666666666666,113.86666666666666,4.799999999999997
Glenoid Preparation,114.39999999999999,145.33333333333334,30.93333333333335
Suture Passage,145.86666666666667,166.13333333333335,20.26666666666668
Diagnostic Arthroscopy,166.66666666666669,170.4,3.73333333333332
Portal Placement,170.93333333333334,173.0666666666667,2.133333333333354
Labral Mobilization,173.60000000000002,183.73333333333335,10.133333333333326
Glenoid Preparation,184.26666666666668,202.4,18.133333333333326
Diagnostic Arthroscopy,202.93333333333334,214.13333333333335,11.200000000000017
Glenoid Preparation,214.66666666666669,223.73333333333335,9.066666666666663
Diagnostic Arthroscopy,224.26666666666668,239.20000000000002,14.933333333333337
Suture Passage,239.73333333333335,243.46666666666667,3.73333333333332
Labral Mobilization,244.0,277.59999999999997,33.599999999999966
Suture Passage,278.1333333333333,324.5333333333333,46.39999999999998
Labral Mobilization,325.06666666666666,332.5333333333333,7.46666666666664
Suture Passage,333.06666666666666,394.93333333333334,61.866666666666674
Final Inspection,395.46666666666664,423.7333333333333,28.26666666666665
Suture Tensioning,424.26666666666665,466.4,42.133333333333326
Suture Passage,466.93333333333334,562.4,95.46666666666664
Anchor Placement,562.9333333333333,591.1999999999999,28.26666666666665
Suture Passage,591.7333333333333,628.5333333333333,36.799999999999955
Anchor Placement,629.0666666666666,708.5333333333333,79.4666666666667
Suture Passage,709.0666666666666,717.6,8.533333333333417
Anchor Placement,718.1333333333333,732.5333333333333,14.399999999999977
Suture Passage,733.0666666666666,812.5333333333333,79.4666666666667
Anchor Placement,813.0666666666666,925.6,112.53333333333342
Suture Passage,926.1333333333333,939.4666666666666,13.333333333333258
Anchor Placement,940.0,945.3333333333333,5.3333333333332575
Suture Passage,945.8666666666667,1017.3333333333333,71.46666666666658
Anchor Placement,1017.8666666666667,1052.5333333333333,34.66666666666663
Suture Passage,1053.0666666666666,1055.2,2.1333333333334394
Anchor Placement,1055.7333333333333,1184.2666666666667,128.5333333333333
Suture Passage,1184.8,1200.2666666666667,15.466666666666697
Anchor Placement,1200.8,1229.0666666666666,28.26666666666665
Suture Passage,1229.6,1252.5333333333333,22.933333333333394
