phase,start_time_s,end_time_s,duration_s
Diagnostic Arthroscopy,0.26666666666666666,40.8,40.53333333333333
Labral Mobilization,41.33333333333333,48.8,7.466666666666669
Diagnostic Arthroscopy,49.33333333333333,63.199999999999996,13.866666666666667
Labral Mobilization,63.733333333333334,88.26666666666667,24.53333333333333
Glenoid Preparation,88.8,115.46666666666667,26.66666666666667
Anchor Placement,116.0,167.73333333333335,51.73333333333335
Final Inspection,168.26666666666668,173.60000000000002,5.333333333333343
Diagnostic Arthroscopy,174.13333333333335,184.8,10.666666666666657
Labral Mobilization,185.33333333333334,286.66666666666663,101.33333333333329
Glenoid Preparation,287.2,302.1333333333333,14.933333333333337
Anchor Placement,302.66666666666663,404.5333333333333,101.86666666666667
Suture Passage,405.06666666666666,461.06666666666666,56.0
Suture Tensioning,461.59999999999997,518.6666666666666,57.06666666666666
Anchor Placement,519.1999999999999,597.6,78.40000000000009
Suture Passage,598.1333333333333,728.2666666666667,130.13333333333333
Suture Tensioning,728.8,803.4666666666667,74.66666666666674
Anchor Placement,804.0,865.3333333333333,61.33333333333326
Suture Passage,865.8666666666667,968.8,102.93333333333328
Suture Tensioning,969.3333333333333,1000.2666666666667,30.933333333333394
Final Inspection,1000.8,1052.0,51.200000000000045
Suture Tensioning,1052.5333333333333,1054.6666666666667,2.1333333333334394
Anchor Placement,1055.2,1072.8,17.59999999999991
